John Doherty;['irish fiddle', 'jig and reel']
Manolo Caracol;['cante flamenco', 'copla', 'flamenco', 'rumba']
Roger Roger;['indie pop', 'pop']
Iva Pacetti;['italian soprano']
Violetta Villas;['classic polish pop']
Sofia Vembo;['greek swing']
Solhi al-Wadi;['oriental classical', 'syrian pop']
Norah Blaney;['music hall']
Vivian Ellis;['light music']
Joe Maini;['jazz saxophone']
Pete Chilver;['bath indie']
Jimmy Murphy;['country gospel']
Tokichi Setoguchi;['post-romantic era']
Aman Ali Khan;['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']
José Padilla;['chill lounge']
Ladislav Vodička;['classic czech pop', 'czech folk']
Mary Barratt Due;['nordic classical piano']
Suzy Solidor;['vintage chanson']
M. D. Banda;['banda', 'corrido', 'norteno', 'regional mexican']
Cornelio Reyna;['corrido', 'norteno', 'ranchera', 'regional mexican']
Eddie Peregrina;['classic opm']
John Kimmel;['vaudeville']
Ray Kennedy;['deep soft rock']
Benny Powell;['jazz trombone']
Masaru Sato;['japanese soundtrack']
Frieda Hempel;['vintage classical singing']
Dick Justice;['appalachian folk', 'old-time', 'vintage country folk']
David Lindup;['library music', 'spytrack']
Joe Young;['chicago blues']
Maria Nemeth;['vintage classical singing']
Crown Prince Waterford;['jump blues']
Dave Goodman;['german blues']
Jean Hubeau;['french classical piano']
Eddie Noack;['honky tonk', 'western swing']
Ernest van Dyck;['vintage classical singing']
George Kirby;['english renaissance']
Marino Marini;['classic italian pop']
Emanuel Vardi;['viola']
Bob Manning;['deep adult standards']
Nicola Rossi-Lemeni;['classical bass', 'italian bass']
August Wilhelm Bach;['german romanticism']
Maria Ivogün;['vintage classical singing']
Edward Meeker;['vaudeville']
Richard Mayr;['vintage classical singing']
Bobby Hebb;['motown', 'northern soul']
Clara Smith;['traditional blues']
John Forsell;['classic iskelma']
Dennis Irwin;['jazz double bass']
Oulaya;['classic tunisian pop', 'maghreb']
Ghulam Hassan Shaggan;['hindustani vocal', 'indian classical', 'pakistani folk']
Abing;['j-metal', 'j-poprock', 'oshare kei']
Salvatore Baccaloni;['italian bass']
Tan Crone;['dutch classical piano']
Torleiv Bolstad;['hardingfele', 'norwegian folk']
Pieter Hellendaal;['baroque', 'classical era', 'galante era']
Katalin Karády;['classic hungarian pop']
Anna von Mildenburg;['vintage classical singing']
Lakshmi Shankar;['hindustani classical', 'hindustani vocal', 'indian classical']
Jimmy Donley;['swamp pop']
Jules de Corte;['vintage dutch pop']
Ernest van der Eyken;['belgian contemporary classical']
Harry Betts;['jazz trombone']
Debbie Friedman;['judaica']
Albert West;['nederpop']
Gemma Bellincioni;['italian soprano', 'vintage classical singing']
André Navarra;['classical cello']
McKinley Mitchell;['chicago soul']
David Lloyd;['orchestral performance']
Buddy Ace;['southern soul blues']
Michael Maybrick;['victorian britain']
Big John Greer;['rhythm and blues']
Claudio Villa;['canzone napoletana', 'classic italian folk pop', 'classic italian pop']
Gaye Delorme;['paracana']
Alphonse Duvernoy;['french romanticism']
Claude Ballif;['french contemporary classical']
Juliusz Zarębski;['polish classical']
Joe Sentieri;['canzone genovese']
Kazimierz Wiłkomirski;['russian modern classical']
Gianni Marchetti;['vintage italian soundtrack']
Shmulik Kraus;['classic israeli pop', 'israeli rock']
Sherrick;['post-disco soul']
Cliff Nobles;['instrumental soul']
Jerry Holland;['canadian celtic', 'cape breton folk', 'scottish fiddle']
Staniša Stošić;['narodna muzika', 'serbian folk']
Jorge Cafrune;['chamame', 'folclore jujeno', 'folklore argentino', 'nueva cancion', 'polca paraguaya']
Willie Hutch;['classic soul', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul', 'southern soul']
Bobby Marchan;['rhythm and blues', 'southern soul']
Félix Leclerc;['auteur-compositeur-interprete quebecois', 'chanson quebecois', 'indie quebecois']
Veikko Lavi;['classic finnish pop', 'classic finnish rock', 'classic iskelma']
Julius Otto Grimm;['german romanticism']
Jorge Lazaroff;['canto popular uruguayo']
Félix Pérez Cardozo;['polca paraguaya']
Alfredo Belusi;['tango', 'vintage tango']
Moisés Simons;['son cubano']
Jimmy McHugh;['tin pan alley']
Josef Antonín Plánický;['bohemian baroque']
William Bennett;['classical flute', 'classical performance']
Åke Persson;['swedish jazz orkester']
Ted Dunbar;['jazz guitar']
Shirley Thoms;['classic australian country', 'yodeling']
Sam Mtukudzi;['sungura']
Ernesto Köhler;['italian romanticism', 'late romantic era']
Dindo Yogo;['soukous']
Bernard Peiffer;['french jazz']
Evert Taube;['classic swedish pop', 'folkmusik', 'swedish jazz', 'vintage swedish pop', 'visor']
Dirk Dirksen;['roots worship']
Johnny Green;['hollywood']
Adnan Şenses;['arabesk']
Ayten Alpman;['classic turkish pop', 'turkish jazz', 'turkish modern jazz', 'turkish pop']
Gene Rockwell;['afrikaans', 'south african country']
Carlo Galeffi;['italian baritone', 'vintage classical singing']
Beatriz da Conceição;['fado']
Ebenezer Prout;['victorian britain']
El Fary;['copla', 'pop flamenco', 'rumba']
Mexicano 777;['latin hip hop', 'rap boricua', 'reggaeton']
Madan Mohan;['classic bollywood', 'filmi', 'indian instrumental']
Alexander Vertinsky;['russian romance']
Andy Hughes;['future ambient']
Fred Bertelmann;['classic schlager', 'vintage schlager']
Tom Krause;['classical bass', 'opera']
Colacho Mendoza;['cumbia']
Maria Caniglia;['classical soprano', 'italian soprano']
Adi Lukovac;['bosnian indie', 'sevdah']
Alan Gowen;['canterbury scene']
Bernhard Christensen;['danish contemporary classical']
Gino Bechi;['italian baritone', 'vintage italian pop']
Rhené-Baton;['impressionism']
Hector Zazou;['fourth world']
Blade Icewood;['detroit hip hop', 'detroit trap']
Lizzi Waldmüller;['vintage schlager']
Peter Griffin;['channel pop']
Harry Brandelius;['classic swedish pop', 'vintage swedish pop']
Carl Story;['bluegrass', 'bluegrass gospel', 'traditional bluegrass']
Malaysia Vasudevan;['deep indian pop', 'filmi']
Al Stillman;['tin pan alley']
Jelly d'Arányi;['historic classical performance']
Clarisse Leite;['brazilian classical']
Peter Horan;['irish flute']
Fritz Heinrich Klein;['austro-german modernism']
Andy McGann;['irish fiddle']
Michael Galasso;['minimalism']
José Carlos Schwarz;['gumbe']
Albert Viau;['folklore quebecois']
Jacques Pills;['vintage chanson']
Maurice Abravanel;['orchestral performance']
Lisa Della Casa;['classical soprano', 'opera']
Bill DeArango;['jazz guitar']
Barry Morgan;['library music']
Gepy & Gepy;['deep disco']
Pauline Duchambge;['early romantic era', 'french romanticism']
Mumtaz Ali Khan;['pakistani folk']
Jimmy Duncan;['vintage swoon']
Theodore Oesten;['german romanticism']
Barry Brown;['dub', 'lovers rock', 'old school dancehall', 'reggae', 'roots reggae']
Pierre Moerlen;['canterbury scene']
Tommy Reilly;['scottish singer-songwriter']
Eon;['background music']
Theophilus Beckford;['rock steady']
He Luting;['chinese classical']
Alexander Ivashkin;['classical cello']
Tranquility Bass;['downtempo']
Gabby Pahinui;['hawaiian', 'hula', 'slack-key guitar']
Łucja Prus;['classic polish pop', 'poezja spiewana', 'sung poetry']
Harry Somers;['canadian classical']
Al Goodman;['canadian modern jazz']
Sheikh Imam;['arab folk']
Valentina Tolkunova;['classic russian pop']
Germán Coppini;['spanish new wave']
Wendell Marshall;['jazz double bass']
Lee Shot Williams;['soul blues', 'southern soul', 'southern soul blues']
Maryla Jonas;['historic piano performance']
Tyree Glenn;['jazz trombone']
Jaap Valkhoff;['vintage dutch pop']
Eduardo Sainz de la Maza;['classical guitar']
Johnny Wiggs;['new orleans jazz']
Leigh Harline;['movie tunes']
Jerry Reed;['country', 'country rock']
Margaret MacArthur;['mountain dulcimer']
Allen Shelton;['banjo']
Chris Harman;['canadian classical']
Joseph Royer;['french baroque', 'galante era']
Ronald Muldrow;['jazz guitar']
Paul Schöffler;['classical baritone']
Sunil Ganguly;['indian instrumental']
Lebo Mathosa;['afro soul', 'kwaito', 'south african jazz', 'south african pop']
Steve Nelson;['christian relaxative', 'christmas instrumental', 'lds', 'slc indie']
Vincent Youmans;['tin pan alley']
Xavier Leroux;['french romanticism']
Alessandro Longo;['italian romanticism']
Tommy Whittle;['jazz saxophone', 'scottish jazz']
Lapp-Lisa;['vintage swedish pop']
Kim Borg;['classical bass']
André Hodeir;['french jazz']
David Reichenberg;['baroque woodwind']
Madurai Mani Iyer;['carnatic', 'carnatic vocal', 'indian classical']
Vadim Kozin;['russian romance']
Xun Huisheng;['chinese opera']
Oreste Ravanello;['italian romanticism', 'post-romantic era']
Vlastimil Lejsek;['czech classical piano']
Zikmund Schul;['austro-german modernism']
C. P. de Silva;['cumbia colombiana regia']
Pnina Salzman;['israeli classical piano']
Eleanor Steber;['classical soprano']
John Littlejohn;['chicago blues']
Jozo Penava;['sevdah']
Carlo Mannelli;['italian baroque']
Herbert Murrill;['anglican liturgy', 'classical organ']
Max Band;['banda', 'nuevo regional mexicano', 'regional mexican']
Apollo Granforte;['italian baritone']
Fărâmiță Lambru;['muzica populara']
Klaus Tennstedt;['classical performance', 'orchestral performance']
George Guesnon;['new orleans blues']
Trịnh Công Sơn;['vietnamese pop']
Christiane Legrand;['french movie tunes']
Asprilio Pacelli;['italian baroque']
Franz Crass;['classical bass']
K-Swift;['bmore']
Heather Begg;['classical mezzo-soprano']
Laila Kinnunen;['classic finnish pop', 'classic finnish rock', 'classic iskelma', 'vintage finnish jazz']
Noël Lee;['american classical piano']
Herbie Harper;['jazz trombone']
Porfi Jiménez;['salsa international']
Daniel Darc;['modern salsa', 'pop peruano', 'salsa peruana']
Cecilia;['classical performance', 'italian orchestra', 'opera']
Clarice Mayne;['music hall']
Paul Dresser;['tin pan alley']
Necil Kazım Akses;['oriental classical']
Marcel Tournier;['harp', 'impressionism']
Brita Koivunen;['classic finnish pop', 'classic iskelma', 'musiikkia lapsille']
Azam Khan;['bangla']
Alfred Reisenauer;['german romanticism']
Renato Cioni;['italian tenor']
Ken Jones;['miami hip hop', 'viral trap']
Chaino;['thai idol']
Jorge Peixinho;['portuguese contemporary classical']
Ralph Marterie;['deep adult standards']
Tom Glazer;['novelty']
Karel Zich;['classic czech pop', 'czech folk']
Bill Miller;['native american']
M. D. Ramanathan;['carnatic', 'carnatic vocal', 'indian classical']
Edgar Leslie;['anglican liturgy']
A. T. Ummer;['mollywood']
Wilhelm Rust;['german romanticism']
Cella Delavrancea;['romanian classical piano']
Schoolboy Cleve;['swamp blues']
Carl Gustav Sparre Olsen;['norwegian classical']
Bernadette Greevy;['classical mezzo-soprano']
Georg Malmstén;['classic finnish pop', 'classic iskelma', 'musiikkia lapsille']
Jitendra Abhisheki;['hindustani classical', 'hindustani vocal', 'indian classical', 'marathi traditional']
Ayinde Bakare;['juju']
Óscar Avilés;['classic peruvian pop', 'musica afroperuana']
Roberto Murolo;['canzone napoletana', 'classic italian pop']
Red Dragon;['deep ragga', 'lovers rock', 'old school dancehall']
Giuseppe Anedda;['classical mandolin']
Masakazu Yoshizawa;['japanese traditional', 'shakuhachi']
Kris Biantoro;['classic indo pop']
Heinrich Werner;['german romanticism']
Billy Boyo;['old school dancehall']
Muharrem Ertaş;['baglama', 'bozlak', 'turkish folk']
Erich Kunz;['pops orchestra']
Pietro Vinci;['italian renaissance']
Martin Peerson;['english renaissance']
Jimmy Ponder;['jazz guitar']
Azer Bülbül;['arabesk', 'turkish hip hop']
Sid Bass;['moog', 'space age pop']
Sivuca;['bossa nova', 'forro', 'forro tradicional', 'jazz accordion', 'samba', 'samba-jazz', 'velha guarda']
Manolis Chiotis;['bouzouki']
Art Van Damme;['jazz accordion']
Licinio Refice;['italian opera']
Mario Sereni;['classical baritone', 'italian baritone']
Jack Hayes;['modern indie pop']
William Clarke;['blues', 'chicago blues', 'electric blues', 'harmonica blues', 'modern blues']
Martin Smith;['christelijk', 'uk worship', 'world worship', 'worship']
Georges Moustaki;['chanson']
Lee Sims;['texas blues']
Musiri Subramania Iyer;['carnatic', 'carnatic vocal', 'indian classical']
Harry Datyner;['swiss classical piano']
Phạm Duy;['v-pop', 'vietnamese singer-songwriter']
Lázaro Ros;['afro-cuban traditional']
Georg Händel;['baroque', 'classical', 'early music', 'english baroque', 'german baroque']
Carlos Puebla;['musica tradicional cubana', 'nueva cancion']
Bill Snyder;['deep adult standards']
Aureliano Pertile;['italian tenor']
Al Lerner;['argentine rock', 'latin pop', 'rock nacional']
Krzysztof Klenczon;['classic polish pop']
Feliks Nowowiejski;['polish classical']
Jan Maklakiewicz;['polish classical']
Jackson do Pandeiro;['bossa nova', 'brazilian indie', 'brazilian percussion', 'choro', 'coco', 'forro', 'forro tradicional', 'mpb', 'samba', 'velha guarda']
Mario Petri;['italian bass']
Teri Harangozó;['classic hungarian pop']
Stig Anderson;['show tunes']
Celeste Mendoza;['bolero cubano', 'cuban rumba', 'latin jazz', 'musica tradicional cubana']
Dimitar Nenov;['balkan classical piano']
Reshma;['classic bollywood', 'classic pakistani pop', 'ghazal', 'pakistani folk', 'sufi']
Seagram;['dirty texas rap', 'g funk']
Don Robertson;['deep adult standards']
Clive Dunn;['novelty']
Klaus Wiese;['dark ambient']
Teddy Grace;['jazz blues']
Lisa Lopes;['hip pop', 'r&b', 'urban contemporary']
Raimond Valgre;['baltic classical']
Albert Spalding;['historic classical performance']
Armando José Fernandes;['neoclassicism']
Arnold Mendelssohn;['german romanticism', 'post-romantic era']
Harry Macdonough;['vaudeville']
Chalino Sánchez;['corrido', 'deep regional mexican', 'norteno', 'nuevo regional mexicano', 'regional mexican']
Anders Frandsen;['classic eurovision']
Bjarne Nerem;['jazz saxophone', 'norwegian jazz']
Geminiano Giacomelli;['italian opera']
Sven Scholander;['visor']
Tony Martinez;['roots americana']
Dieter Acker;['german contemporary classical']
Budd Johnson;['big band', 'jump blues', 'rhythm and blues', 'swing']
Willy Alberti;['levenslied', 'nederpop', 'vintage dutch pop']
John Browning;['american classical piano']
Manuel Enríquez;['mexican classical', 'serialism']
Fernando Maurício;['fado']
E. A. Mario;['salsa international']
Mario Filippeschi;['italian tenor']
Zheng Cao;['chinese traditional', 'guzheng']
Antonio Machín;['bolero', 'bolero cubano', 'cancion melodica', 'musica tradicional cubana', 'rumba']
Bernard Herrmann;['classic soundtrack', 'soundtrack']
Harold Burrage;['chicago soul']
Mariano Stabile;['italian baritone']
Chitti Babu;['carnatic', 'carnatic instrumental', 'indian classical', 'veena']
Tamara Lund;['classic finnish pop', 'classic iskelma']
Bonaventura Somma;['italian romanticism']
Shizuko Kasagi;['enka']
Sluggy Ranks;['old school dancehall']
Salty Holmes;['harmonica blues']
Justin Heinrich Knecht;['german opera']
Rudolf Dellinger;['german opera', 'german romanticism', 'operetta']
Claire Croiza;['vintage classical singing']
Delia Murphy;['irish ballad']
Finn Mortensen;['nordic contemporary classical']
Graham Brazier;['classic nz pop']
Sigrid Onégin;['vintage classical singing']
Armand;['bolero', 'cancion melodica', 'latin', 'latin pop', 'musica yucateca', 'velha guarda']
Lev Vlassenko;['caucasian classical piano']
Thomas Chapin;['free jazz']
Alexander Spendiaryan;['caucasian classical']
Jack Sels;['bass trip']
Hy Zaret;['tin pan alley']
Imre Ungár;['hungarian classical piano']
Cesare Ciardi;['italian romanticism']
Jaroslav Filip;['slovak pop']
Juha Vainio;['classic finnish pop', 'classic finnish rock', 'classic iskelma', 'humppa', 'iskelma', 'suomi rock']
Marc Aryan;['classic turkish pop', 'turkish psych']
Rolf Just Nilsen;['barnemusikk', 'classic norwegian pop']
Novica Urošević;['narodna muzika']
Abe Lyman;['vintage jazz']
Oscar Buddy Woods;['texas blues']
Moses Khumalo;['south african jazz']
Santidev Ghosh;['rabindra sangeet']
Chano Lobato;['cante flamenco', 'flamenco', 'nuevo flamenco', 'rumba']
Rosetta Pampanini;['italian soprano', 'vintage classical singing']
Terry Jennings;['minimalism']
Ernst Haberbier;['german romanticism']
Nico Kaufmann;['swiss classical piano']
Lupus Hellinck;['early music', 'franco-flemish school', 'renaissance']
August Conradi;['german romanticism']
Marcel Ciampi;['historic piano performance']
Jimmy Woode;['jazz double bass']
Ferruccio Tagliavini;['classical tenor', 'italian tenor', 'vintage italian pop']
Naum Shtarkman;['russian classical piano']
Louise Reichardt;['early romantic era']
Kyrylo Stetsenko;['ukrainian classical']
Eugen Cicero;['classical jazz fusion']
Fred Steiner;['classic soundtrack']
J. C. Johnson;['contemporary country', 'country road', 'texas country']
Giacinto Prandelli;['italian tenor']
Bob Kames;['polka']
Katarzyna Sobczyk;['classic polish pop']
Raghunath Seth;['bansuri', 'hindustani classical', 'hindustani instrumental', 'indian classical']
Harold Adamson;['tin pan alley']
Wess;['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'turntablism']
Mark Spoelstra;['american folk revival']
Melvin Endsley;['arkansas country']
Yvar Mikhashoff;['wandelweiser']
Dock Walsh;['banjo', 'vintage gospel', 'vintage old-time']
Nico dei Gabbiani;['classic italian pop']
Chief Stephen Osita Osadebe;['highlife', 'igbo traditional']
Nicolaus Adam Strungk;['german baroque']
Karl Engel;['swiss classical piano']
Itamar Assumpção;['bossa nova', 'brazilian indie', 'mpb', 'musica infantil', 'musica popular paraense', 'samba', 'samba paulista', 'velha guarda']
Lou Bennett;['deep downtempo fusion']
William Brown;['indiecoustica']
Nino Oliviero;['vintage italian soundtrack']
Magda Olivero;['classical soprano', 'italian soprano']
Aracy de Almeida;['choro', 'samba', 'velha guarda']
Teri Thornton;['song poem']
William Grant Still;['african-american classical', 'american modern classical', 'early modern classical', 'harlem renaissance']
Johnny Collins;['shanty']
Martti Pokela;['finnish folk', 'kantele']
Erika Köth;['classical soprano']
Ziggy Elman;['jazz trumpet']
Jack Beaver;['library music']
Giacomo Rondinella;['canzone napoletana', 'vintage italian pop']
Aage Samuelsen;['danseband', 'norwegian gospel']
Lilis Suryani;['classic indo pop']
Reyhan;['deep turkish pop', 'turkish pop']
Frank Hutchens;['new zealand classical']
Maarten van Roozendaal;['dutch singer-songwriter']
Loyal Garner;['hawaiian']
Jean Casadesus;['orchestral performance']
Prodromos Tsaousakis;['rebetiko']
Vasily Zolotarev;['russian romanticism']
Lisa Kirk;['cabaret']
Terry Timmons;['rhythm and blues']
Monty Sunshine;['dixieland', 'jazz clarinet']
Moses Taiwa Molelekwa;['south african jazz']
Skeets Tolbert;['vintage jazz']
Otto Brandenburg;['classic danish pop', 'dansktop']
Big L;['contemporary country', 'country', 'country dawn', 'country road']
Soliman Gamil;['egyptian traditional', 'nubian traditional']
Jānis Ivanovs;['baltic classical']
Yank Lawson;['jazz trumpet']
Prince Far I;['dub', 'dub poetry', 'old school dancehall', 'reggae', 'roots reggae']
George Wallace;['black comedy']
Giannis Papaioannou;['bouzouki', 'rebetiko']
Phillip Martin;['smooth jazz', 'smooth saxophone']
Angelo Badà;['classic soundtrack', 'dark jazz', 'soundtrack']
Pierre Schaeffer;['acousmatic', 'avant-garde', 'electroacoustic composition', 'free improvisation', 'musique concrete', 'vintage french electronic']
George Crum;['american contemporary classical', 'avant-garde', 'contemporary classical']
Aruna Lama;['classic nepali pop', 'nepali pop']
Sergio Bruni;['canzone napoletana', 'vintage italian pop']
John Cole;['adult standards', 'bubblegum pop', 'country rock', 'folk rock', 'mellow gold', 'soft rock']
Crispian St. Peters;['british invasion', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']
Warren Covington;['jazz trombone', 'space age pop']
Johnny Barfield;['country boogie']
Alex van Heerden;['south african jazz']
Saturno Meletti;['italian bass']
Fermo Dante Marchetti;['post-romantic era']
Ronald Stein;['classic soundtrack']
Pedro Vargas;['bolero', 'bolero mexicano', 'mariachi', 'ranchera']
Nina Koshetz;['vintage classical singing']
Lauro Rossi;['italian opera', 'italian romanticism']
Amancio D'Silva;['indian jazz']
Juan Oncina;['classical tenor']
Harriet Cohen;['historic piano performance']
Pietro Abbà Cornaglia;['italian romanticism']
Carlo Savina;['vintage italian soundtrack']
R. H. Harris;['acoustic pop', 'neo mellow']
Mirto Picchi;['italian tenor']
Joe Thomas;['rare groove']
John Patton;['ambient folk', 'indie anthem-folk', 'indiecoustica']
Mike Marshall;['bluegrass', 'classical mandolin', 'mandolin', 'progressive bluegrass']
Ken Brown;['polynesian pop']
Jesse Belvin;['doo-wop', 'rhythm and blues']
Vellore G. Ramabhadran;['carnatic instrumental', 'indian classical']
François Rebel;['french baroque', 'galante era']
Elena Gilels;['russian classical piano']
Cheb i Sabbah;['world fusion']
Maurice Jarre;['classic soundtrack', 'french soundtrack', 'soundtrack']
Tasha Thomas;['deep disco']
Sylvester;['disco', 'hi-nrg', 'post-disco']
Frank Valentino;['classic belgian pop']
Ivan Rebroff;['russian folk', 'russian romance']
Panos Gavalas;['laiko', 'rebetiko']
Cornell MacNeil;['classical baritone', 'opera']
Blaze Foley;['alternative country', 'cosmic american', 'country rock', 'folk', 'new americana', 'outlaw country', 'roots rock', 'singer-songwriter', 'traditional folk']
Maria Barrientos;['vintage classical singing']
B. Rajam Iyer;['carnatic vocal', 'indian classical']
George Siravo;['space age pop']
Olle Adolphson;['classic swedish pop', 'folkmusik', 'swedish jazz', 'vintage swedish pop', 'visor']
Donald Lambert;['stride']
Denis Rose;['pop chileno']
Forrest;['pop']
Arthur Roberts;['scottish fiddle']
Sonny Fisher;['rockabilly', 'traditional rockabilly']
Luther Magby;['vintage gospel']
Hans Kann;['austrian classical piano']
Georg Hann;['canadian indie', 'canadian singer-songwriter', 'deep new americana', 'vancouver indie']
Peg Leg Howell;['country blues', 'jug band', 'piedmont blues', 'traditional blues']
Hadj M'rizek;['chaabi algerien']
Arnold Krug;['german romanticism']
Tillman Franks;['rhythm and boogie']
Aram Khachaturian;['caucasian classical', 'classical', 'early modern classical', 'russian modern classical']
Walter Valdi;['musica lombarda']
Moreira da Silva;['pagode', 'samba', 'velha guarda']
Jeanne Lee;['avant-garde jazz', 'experimental vocal', 'free jazz']
Geoffrey Parsons;['art song']
Joseph Panny;['german romanticism']
Irene Taylor;['torch song']
Charles Trenet;['chanson']
Al Hopkins;['psychedelic jazz fusion']
Lester Bowie;['avant-garde jazz', 'free jazz', 'jazz trumpet']
Blair;['alternative r&b', 'bedroom pop', 'indie pop', 'modern rock']
Jackie Edwards;['lovers rock', 'rock steady']
Gertrude Niesen;['torch song']
Joe Venuti;['jazz violin', 'vintage jazz']
Leonardo Favio;['bolero', 'cancion melodica', 'cantautor', 'latin pop', 'pop romantico']
Anant Lal;['hindustani instrumental', 'indian classical']
Hans Reichel;['experimental guitar', 'free improvisation', 'sound art']
Jacobo Palm;['antilliaanse folklore']
Jacques Urlus;['vintage classical singing']
Heinrich Knote;['vintage classical singing']
Bebu Silvetti;['romantico']
Si Zentner;['easy listening', 'exotica', 'jazz trombone', 'lounge', 'space age pop']
Tránsito Cocomarola;['chamame']
Michel Roux;['french movie tunes']
Hans Münch;['historic orchestral performance']
David Bennett;['steampunk']
Emil Młynarski;['polish classical']
Hugh Blair;['anglican liturgy']
Luciano Gallet;['brazilian classical']
Perry Bradford;['harlem renaissance']
Joseph Schmidt;['vintage schlager']
Giovanni Marco Rutini;['galante era']
Pierre Vassiliu;['rock progressif francais']
Gilda dalla Rizza;['italian soprano']
Peter Mennin;['american modern classical', 'early modern classical']
Earl Washington;['deep motown']
Arthur Butterworth;['british modern classical']
Dan W. Quinn;['vaudeville']
Nazem Al-Ghazali;['khaleeji iraqi', 'middle eastern traditional']
Fred Åkerström;['classic swedish pop', 'folkmusik', 'swedish jazz', 'visor']
Johnny Doran;['uilleann pipes']
Paul Hill;['choral', 'classical performance']
Władysław Kędra;['polish classical piano']
Wally Rose;['ragtime']
Stefan Askenase;['belgian classical piano', 'historic piano performance', 'polish classical piano']
Pasquale Cafaro;['galante era', 'italian opera']
Émile Bernard;['late romantic era']
Peter Katin;['british classical piano']
G. V. Atri;['kannada bhava geethe']
Veriano Luchetti;['italian tenor']
G. M. Durrani;['filmi']
Jack Lawrence;['tin pan alley']
Niño Ricardo;['flamenco', 'flamenco guitar']
Leo Fuld;['klezmer']
Hugo Alfvén;['post-romantic era', 'swedish classical']
Abelardo Barroso;['bolero cubano', 'mambo', 'musica tradicional cubana', 'son cubano clasico']
Fotis Polymeris;['greek guitar']
Seymour Österwall;['swedish jazz orkester']
Elvira Casazza;['italian mezzo-soprano']
Randy Johnston;['jazz guitar']
Yves Nat;['historic piano performance']
Pedro Maffia;['bandoneon']
George Wild Child Butler;['chicago blues']
Al Bowlly;['adult standards', 'big band', 'british dance band', 'swing']
Robbie Basho;['american primitive', 'drone folk', 'new weird america', 'psychedelic folk']
Ilmari Hannikainen;['finnish classical']
Barbara Ruick;['vintage hollywood']
Dick Glasser;['vintage rockabilly']
Valeria Peter Predescu;['muzica populara']
Florindo Sassone;['nuevo tango', 'tango', 'vintage tango']
Jan Ekier;['polish classical piano']
Oralia Domínguez;['classical mezzo-soprano']
Giovanni Battista Somis;['italian baroque']
Johnny Bayersdorffer;['new orleans jazz']
Gloria Lasso;['cancion melodica']
K. B. Sundarambal;['carnatic vocal', 'indian classical']
Enric Madriguera;['vintage spanish pop']
Sean Dunphy;['irish country', 'irish folk']
Mighty King Kong;['kenyan pop']
Mark Kopytman;['israeli classical', 'oriental classical']
Hermann Bischoff;['german romanticism', 'post-romantic era']
Arkady Severny;['russian chanson']
Alton Purnell;['new orleans jazz']
Georgia Gibbs;['deep adult standards']
Amalia Molina;['copla']
Asad Ali Khan;['dhrupad', 'hindustani classical', 'hindustani instrumental', 'indian classical', 'veena']
John Day;['romantico']
Kokoro;['lo-fi beats']
Herva Nelli;['italian soprano']
Nicomedes Santa Cruz;['classic peruvian pop', 'musica afroperuana']
Mark Olf;['israeli folk']
Mohammed Abdel Wahab;['arab folk', 'belly dance', 'classic arab pop']
Pina Carmirelli;['italian violin']
John Mayer;['neo mellow', 'pop', 'pop rock', 'singer-songwriter']
Auguste Franchomme;['french romanticism']
Booty Wood;['jazz brass', 'jazz trombone']
Tofig Guliyev;['caucasian classical']
Tim Wright;['contemporary gospel', 'gospel']
Susan;['broadway', 'hollywood', 'movie tunes', 'show tunes']
Franz Xaver Gebel;['german romanticism']
Pedro Infante;['bolero', 'bolero mexicano', 'mariachi', 'ranchera']
Kay Swift;['tin pan alley']
Buddy DeSylva;['tin pan alley']
José Curbelo;['cha-cha-cha']
Franca Raimondi;['classic eurovision']
Bob French;['new orleans jazz']
Monna Bell;['bolero', 'cancion melodica']
Peerie Willie Johnson;['orkney and shetland folk']
Margaret Matzenauer;['italian mezzo-soprano', 'vintage classical singing']
Mahmoud Guinia;['gnawa']
Maria Carta;['italian folk', 'musica sarda']
Maria Teresa de Noronha;['fado']
Mordecai Seter;['israeli classical', 'oriental classical']
John-Edward Kelly;['classical saxophone']
Burt Bales;['ragtime']
Tony Scott;['jazz clarinet', 'meditation']
Eddie Durham;['jazz guitar']
Aniceto Molina;['chicha', 'cumbia', 'cumbia salvadorena']
Rich Matteson;['jazz tuba']
Otto Luening;['acousmatic', 'avant-garde', 'electroacoustic composition', 'musique concrete']
Dave Sampson;['canadian singer-songwriter', 'cape breton indie']
Antonio Brunelli;['italian baroque']
Georges Brassens;['chanson', 'french pop', 'french rock']
Ted Fio Rito;['tin pan alley']
Dorothy Parker;['irish classical', 'poetry']
Mario Migliardi;['vintage italian soundtrack']
Martti Talvela;['classical bass']
Ester Soré;['folklore chileno']
Herbert Campbell;['music hall']
Kaspar Fürstenau;['german romanticism']
Wayne Perry;['dubstep', 'gaming dubstep']
Judith Nelson;['classical soprano']
Roger Webb;['library music']
Jef Gilson;['french jazz']
Winston Mankunku Ngozi;['south african jazz']
Buddy Johnson;['big band', 'jump blues', 'rhythm and blues', 'swing']
Kaka Bhaniawala;['bhangra', 'classic punjabi pop']
Dick Cathcart;['jazz trumpet']
